Adrian	Adrianka  Adriakha  Adriasha  Adria  Adia  Andriakha  Yasha
Aleksandr	Aleksandrushka  Aleksania  Aleksakha  Aleksiusha  Aleksia  Asia  Leksania  Leksasha  Saniura  Saniuta  Saniukha  Saniusha  Sania  Sasha  Sashulia  Sashura  Shura
Aleksey	Aleka  Alionia  Aliokha  Aliosha  Alekseika  Aliunia  Liosha  Liokha  Leka  Leksa  Liolia  Lionia  Liunia
Anatoliy	Ana  Anatol’ka  Natolia  Natokha  Natosha  Toliunia  Toliusia  Tolia  Tolian  Toliasha  Tosia  Totia  Tosha  Tusia
Andrey	Andreika  Andriunia  Andriukha  Andriusha  Andria
Anton	Antonka  Antonia  Antosia  Antokha  Antosha  Antia  Tonia  Tosia  Tosha
Arkadiy	Arkadiushka  Arkasha  Aria  Kadia  Kana  Kania  Kasha
Arseniy	Arsa  Arseniushka  Arsenia  Arsiuta  Arsiusha  Arsia  Senia
Artemiy	Artiomka  Artiomchik  Artemiushka  Artiosha  Artiunia  Artiukha  Artiusha  Artia  Tioma  Tiunia  Tiusha
Bogdan	Boga  Bogda  Bogdanka  Bogdasha  Bodia  Dana  Daniok  Dania
Boris	Bor  Boriska  Borulia  Boriulia  Boriunia  Boriusia  Boriukha  Boria
Vladimir	Vava  Vavulia  Vavusia  Vadia  Vlada  Vladia  Vova  Vovulia  Vovusia  Vovusha  Vodiasha  Volodia  Volodiuka  Volodiunia  Volodikha  Volia  Lada  Ladia
Vadim	Vadimka  Vadisha  Vadiusha  Vadia
Valeriy	Valera  Valeriasha  Valesha  Valia  Lera  Lerik  Lerunia  Lerusia  Lerukha  Lerusha
Vasiliy	Vaka  Vasiona  Vasiliok  Vasil’ko  Vasiliushko  Vasiunia  Vasiura  Vasiuta  Vasiukha  Vasiusha  Vasia  Vasiay  Vasiaka  Vasiania  Vasiata  Vasiasha  Siuta
Viktor	Vika  Vikta  Viktorka  Viktusia  Vita  Vitania  Vitasia  Vitakha  Vitiosha  Vitosha  Vitunia  Vitusha  Vitia  Vitiania  Visha  Tora
Gennadiy	Gena  Genasha  Gennasha  Genulia  Genusia  Genukha  Geniukha  Geniusha  Genia  Gesha  Geia
Grigoriy	Gora  Goria  Grigora  Grigoriushka  Grika  Griniukha  Grinia  Grisha  Grishania  Grishuta  Grishko
Denis	Dena  Deniska  Denusia  Denia  Desha  Den’ka  Deniok  Dusia
Dmitriy	Dima  Dimakha  Dimasha  Dimulia  Dimusia  Dimusha  Mitra  Mitrasha  Mutriukha  Mitria  Mitiunia  Mitia  Mitiay
Ivan	Vaniura  Vaniusia  Vaniuta  Vaniutia  Vaniukha  Vaniusha  Vania  Iva  Ivanka  Ivaniukha  Ivaniusha  Ivania  Ivasik  Ivasia  Ivakha  Ivasha  Isha  Ishuta
Igor	Goga  Gora  Goria  Gotia  Gosha  Gusia  Igorasha  Igoriok  Igorka  Igoriukha  Igoriasha  Igosha  Igulia  Igusia  Ira
Illia	Iliukha  Iliusha  Iliunia  Iliusia  Ilia  Iliakha  Liulia  Liunia  Liusia
Konstantin	Koka  Konstantinka  Kostia  Kostiunia  Kostiura  Kostiukha  Kostiusha  Kostiania  Kostiakha  Kosia  Kotasha  Kotia
Leonid	Ledia  Leniusia  Lenia  Lionia. Leonidka  Leonia  Lesia  Liosia  Liokha  Liosha
Maksim	Maka  Maksimka  Maksiuta  Maksiusha  Maksia  Sima
Mikhail	Mika  Minusha  Miniusha  Mikha  Mikhailushka  Mikhay  Misha  Mishania  Mishura  Mishunia  Mishura  Mishuta
Nikita	Kenia  Kesha  Nikenia  Nikesha  Nikitka  Nikikha  Nikisha
Nikolay	Koka  Koliunia  Koliusia  Koliukha  Koliusha  Kolia  Koliania  Koliakha  Koliasha  Nika  Nikakha  Nikasha  Nikolaika  Nikolakha  Nikolasha  Nikolka  Nikolia  Nikosha  Nikula  Nikusha
Oleg	Alia  Lega  Lioka  Olegushka  Olezhka  Olesia  Oliusia  Olia
Orest	Ora  Oresta  Oria  Rostia
Pavel	Pava  Pavelka  Pavlik  Pavlunia  Pavlusia  Pavlukha  Pavlusha  Pavliukasha  Pavlia  Pavsha  Palunia  Paliunia  Palia  Pana  Pania  Paniasha  Pakha  Pasha  Pashukha
Piotr	Peta  Petania  Petiokha  Petosha  Piotra  Petray  Petraka  Petrania  Petrakha  Petrasha  Petrusia  Petrukha  Petrusha  Petria  Petulia  Petunia  Petusia  Petiusha  Petia  Petiay  Petiayka  Petiania  Petiasha
Potap	Pota  Potania  Potapka  Potia
Prokhor	Pron’sha  Pronia  Prokha  Prokhorka  Prosha  Proshunia
Ruslan	Lana  Rustik  Rustia  Rusia  Rusel  Ruselka
Roman	Roma  Romanka  Romania  Romasia  Romakha  Romasha  Romashka  Romulia
Rostislav	Rostik  Rostislavka  Rostia  Rostiana  Rosia  Rotia  Slava  Slavka  Slavunia  Slavusia
Semion	Onia  Sioma  Semionka  Seniura  Seniukha  Seniusha  Senia  Simania  Simonia
Sergey	Gusha  Sergeyka  Sergulia  Sergunia  Sergusia  Seriozha  Serionia  Serenia  Serzh
Stanislav	Stanislavka  Stania  Stasia  Slava  Slavka  Slavunia  Slavusia
Taras	Taraska  Tar  Tara  Tarik  Tarukha  Tarusha  Tasia
Timofey	Tioma  Tima  Timania  Timakha  Timasha  Timosia  Timofeyka  Timokha  Timosha  Timunia
Trofim	Tronia  Trofimka  Trokha  Trosha  Trunia  Fima
Fiodor	Fiodorka  Fedulia  Fedunia  Fedusia  Fediuka  Fedulia  Fediunia  Fediusia  Fediukha  Fediusha  Fedia  Fediayka  Fediaka  Fediania  Fediakha  Fediasha
Filipp	Fil  Filipka  Filiukha  Filiusha  Filia
Eduard	Ed  Edik  Eduardik  Ediunia  Edia
Yuriy	Yuka  Yura  Yurania  Yurasia  Yurakha  Yurasha  Yurenia  Yurchenia
Yakov	Yakovka  Yakunia  Yakukha  Yakusha  Yania  Yasia  Yasha  Yashata  Yashonia  Yashunia  Yashuta
Yaroslav	Rosia  Slava  Slavka  Slavunia  Slavusia  Yarik  Yaroslavka
Agata	Aga  Agatka  Agatochka  Agasha  Agusha  Gata
Agnessa	Aga  Agna  Agniusha  Agnia  Agusia  Asia  Nesia
Adelaida	Ada  Adelaidka  Adel  Adelia  Adka  Adulia  Adusia  Adusha  Adiunia  Adiusha  Adia
Alina	Ala  Alia  Alinka  Aliusia  Asia  Lina
Alisa	Ala  Aliska  Alia  Asia  As’ka
Alla	Ala  Aliunia  Aliusia  Alia  Asia
Aleksandra	Aleksana  Aleksandrushka  Aleksania  Aleksakha  Aleksasha  Aleksiukha  Aleksiusha  Asia  Sasha  Shura
Anastasia	Anastasiushka  Anastaska  Asia  Nasa  Nasta  Nastasia  Nastiona  Nastusia  Nastiulia  Nastiunia  Nastiura  Nastiukha  Nastia  Nasia  Nata  Naiusia  Naia  Niunia  Niura  Niusia  Stiura  Tiona  Tusia
Anna	Ana  Anneta  Annechka  Annochka  Annusia  Annusha  Annushka  Anniunia  Anniusia  Aniuta  Aniusha  Ania  Asia  Neta  Niuta  Niusha
Bozhena	Boga  Bozhenka  Bozhenochka  Bozhunia  Bozhuta
Varvara	Vara  Varvarka  Variunia  Variusia  Variuta  Variukha  Varia
Vera	Verania  Verakha  Verasha  Verka  Verulia  Verunia  Verusia  Verukha  Verusha
Viktoria	Vika  Vikta  Viktorka  Viktusia  Bikusha  Vita  Vitka  Vitulia  Vitusia
Galina	Alia  Galia  Gala  Galiok  Galioka  Galinka  Galinukha  Galisha  Galka  Galunia  Gal’ka  Galiunia  Galiusia  Gana  Gasia  Lina
Daria	Dania  Dara  Dariona  Dariokha  Darina  Darunia  Dariusha  Daria  Dasha  Dashunia  Dashura  Dashuta  Dashukha
Yevdokia	Avdonia  Avdot’ka  Avdokha  Avdosha  Avdulia  Avdusia  Dona  Dosia  Dosha  Dunia  Duniara  Duniasha  Dusia  Yevdokiushka  Yevdonia  Yevdusha  Yevdokha  Yevdia
Yekaterina	Yekaterinka  Kationa  Katerinka  Katusha  Katiulia  Katiusha  Katiusia  Katia  Katiakha  Katiasha  Rina
Yelena	Aliona  Yela  Yelenka  Yelenia  Yeliusia  Yeliusha  Yelia  Liolia  Lena  Liona  Lenusia  Lenusha  Lesia  Liosia  Liusia
Zhanna	Zhanka  Zhannusia  Zhannulia  Zhannochka
Zinaida	Zina  Zinaidka  Zinakha  Zinasha  Zinka  Zinulia  Zinura  Zinusia  Zinia  Zinusha  Zisha  Ida  Idka  Idusia  Ina
Zoia	Zaia  Zoika  Zosia  Zokha  Zosha  Zoiunia  Zoiukha  Zoiusha
Irina	Arinka  Arisha Ariukha  Ariusha  Ina  Inulia  Irena  Irinka  Irisha  Ira  Irunia  Irusia  Irusha  Rena
Inessa	Ina  Ineska  Inulia  Inura  Inusia  Inusha
Karolina	Kalia  Kara  Karolinka  Karolia  Lina
Ksenia	Aksiunia  Aksiuta  Aksiukha  Aksiusha  Aksia  Asia  Ksena  Kseniusha  Ksenia  Ksesha  Ksiunia  Ksiura  Ksiuta  Ksiusha  Seniura  Siunia
Larisa	Lara  Lariska  Larulia  Larunia  Larusia  Laria  Lora
Lidia	Lida  Lidonia  Lidulia  Lidunia  Lidusia  Lidukha  Lidusha  Lidka  Lika  Lina  Linia
Liubov	Liuba  Liubava  Liubania  Liubakha  Liubasha  Liubusia  Liubusha  Liusia
Liudmila	Liuda  Liudakha  Liudasha  Liudmilka  Liudusia  Luidukha  Liudusha  Liulia  Liusisha  Liusia  Mika  Mila  Milasha  Milusia  Milia
Maria	Maka  Maniunia  Maniura  Mania  Mara  Mariyka  Marisha  Marulia  Marunia  Marusia  Maria  Masia  Masiata  Masha  Mashunia  Mashuta  Moria  Mulia  Munia  Musia  Muta  Musha
Margarita	Maga  Maka  Mara  Marga  Margaritka  Margo  Margosha  Margusha  Marusia  Moria  Rita  Ritania  Ritosha  Ritulia  Ritusia
Nadezhda	Dina  Dinusia  Nadiona  Nadiokha  Nadeia  Nadisha  Nadiunia  Nadiusia  Nadiukha  Nadiusha  Nadia
Natalia	Nala  Nalia  Nata  Natala  Nataliushka  Natania  Natakha  Natasha  Natulia  Natunia  Natusia  Nasha  Tala  Taliusha  Talia  Tata  Tatusia  Tasha  Tusia
Nina	Ninaka  Ninania  Ninka  Ninoka  Ninona  Ninonia  Ninokha  Ninosha  Ninulia  Ninunia  Ninura  Ninusia  Ninukha  Ninusha  Niniura  Nita  Nunia  Nusia
Olga	Liulia  Liunia  Lialia  Oliona  Olgunia  Olgusia  Olgukha  Olgusha  Oliulia  Oliunia  Oliusia  Oliukha  Oliusha  Olia  Oliania  Oliasha
Polina	Pana  Panulia  Paniulia  Pania  Polinka  Poliunia  Poliusia  Poliukha  Poliusha  Polia  Poliakha  Poliasha  Pusia
Raisa	Raiska  Raiusia  Raiusha  Rasha  Raia
Renata	Nata  Natka  Renatka  Renulia  Renusia
Svetlana	Veta  Lana  Sveta  Svetka  Svetlanka  Svetulia  Svetunia  Svetusia  Svetukha  Svetusha
Sofia	Sona  Soniusha  Sonia  Sofa  Sofiushka
Taisia	Asia  Taiska  Taisiushka  Taisia  Tasiuta  Tasia  Taiunia  Taiusia  Taiuta  Taiukha  Taiusha  Taia  Tusia
Tamara	Mara  Musia  Tama  Tamarka  Tamusia  Tata  Tatusia  Toma  Tomulia  Tomunia  Tomusia  Tusia
Tatiana	Taniura  Taniusia  Taniuta  Taniukha  Taniusha  Tania  Tata  Tatulia  Tatunia  Tatusia  Tatianka  Tasha  Tusia
Tomila	Tomilka  Tomka  Toma  Tomulia
Uliana	Ul’ka  Ulianka  Uliakha  Uliasha  Ulia  Usia  Us’ka
Khristina	Tina  Khristiona  Khristionia  Khristinka  Khristonia  Khristosha  Khrisiukha  Khristiusha  Khristia  Khrisia
Evelina	Eva  Evelinka  Elousha  Elia
Elvira	Ela  Elvirka  Eliuna  Eliunia  Eliusia  Eliusha  Elia
Emilia	Mila  Elia  Ema  Emilia  Emka  Emunia
Yuliana	Liana  Yulianka  Yulia  Yana
